filepath,size_bytes,lines,type
.gitignore,669,73,gitignore
CHANGELOG.md,681,31,md
LICENSE,1066,22,directory
MANIFEST.in,151,7,in
README.md,1492,67,md
examples/basic_usage.py,2734,85,py
examples/bioreactor_example.py,2986,91,py
examples/multi_stream_example.py,4418,129,py
examples/visualization_example.py,4679,141,py
landgem/__init__.py,525,24,py
landgem/core.py,8589,269,py
landgem/equations.py,3477,146,py
landgem/io.py,4016,159,py
landgem/multi_stream.py,5817,191,py
landgem/parameters.py,5123,196,py
landgem/validation.py,2789,98,py
landgem/visualization.py,4906,176,py
pytest.ini,155,10,ini
requirements.txt,46,4,txt
setup.py,1393,47,py
tests/__init__.py,0,1,py
tests/test_core.py,2935,92,py
tests/test_equations.py,2234,84,py
tests/test_parameters.py,1415,44,py
tests/test_validation.py,1762,55,py
